Run ID,Ruleset,Shoe ID,Rounds,Counter Net,Basic Net,Max Bet Opportunities,Max Bets Placed,TC-4 Freq,TC-4 Wins,TC-4 Losses,TC-4 WinRate,TC-3 Freq,TC-3 Wins,TC-3 Losses,TC-3 WinRate,TC-2 Freq,TC-2 Wins,TC-2 Losses,TC-2 WinRate,TC-1 Freq,TC-1 Wins,TC-1 Losses,TC-1 WinRate,TC+0 Freq,TC+0 Wins,TC+0 Losses,TC+0 WinRate,TC+1 Freq,TC+1 Wins,TC+1 Losses,TC+1 WinRate,TC+2 Freq,TC+2 Wins,TC+2 Losses,TC+2 WinRate,TC+3 Freq,TC+3 Wins,TC+3 Losses,TC+3 WinRate,TC+4 Freq,TC+4 Wins,TC+4 Losses,TC+4 WinRate
1,FullHiLoRules,8486,15,0.0,6.25,4,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,2,0,0,,5,0,0,,3,0,0,,1,0,0,,4,0,0,
1,FullHiLoRules,8487,15,0.0,33.75,0,0,1,0,0,,1,0,0,,1,0,0,,0,0,0,,6,0,0,,3,0,0,,3,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8488,15,0.0,-23.75,0,0,2,0,0,,0,0,0,,1,0,0,,1,0,0,,8,0,0,,3,0,0,,0,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8489,15,0.0,-30.0,1,0,0,0,0,,0,0,0,,3,0,0,,1,0,0,,6,0,0,,3,0,0,,1,0,0,,0,0,0,,1,0,0,
1,FullHiLoRules,8490,15,0.0,-20.0,0,0,0,0,0,,0,0,0,,2,0,0,,4,0,0,,5,0,0,,3,0,0,,1,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8491,16,0.0,-28.75,0,0,1,0,0,,0,0,0,,4,0,0,,4,0,0,,5,0,0,,2,0,0,,0,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8492,15,0.0,37.5,0,0,2,0,0,,1,0,0,,2,0,0,,2,0,0,,7,0,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8493,16,0.0,32.5,0,0,10,0,0,,1,0,0,,2,0,0,,2,0,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8494,15,0.0,-51.25,0,0,0,0,0,,1,0,0,,1,0,0,,1,0,0,,4,0,0,,6,0,0,,2,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8495,15,0.0,68.75,0,0,4,0,0,,3,0,0,,2,0,0,,2,0,0,,4,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8496,15,0.0,-23.75,0,0,0,0,0,,2,0,0,,1,0,0,,0,0,0,,7,0,0,,5,0,0,,0,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8497,15,0.0,2.5,0,0,0,0,0,,0,0,0,,0,0,0,,4,0,0,,6,0,0,,2,0,0,,0,0,0,,3,0,0,,0,0,0,
1,FullHiLoRules,8498,16,0.0,-61.25,0,0,4,0,0,,4,0,0,,2,0,0,,1,0,0,,4,0,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8499,15,0.0,30.0,0,0,0,0,0,,0,0,0,,0,0,0,,3,0,0,,9,0,0,,2,0,0,,1,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8500,14,0.0,18.75,0,0,0,0,0,,5,0,0,,4,0,0,,3,0,0,,2,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8501,15,0.0,-12.5,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,11,0,0,,3,0,0,,1,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8502,15,0.0,56.25,0,0,2,0,0,,1,0,0,,2,0,0,,4,0,0,,6,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8503,15,0.0,7.5,0,0,3,0,0,,0,0,0,,0,0,0,,4,0,0,,7,0,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8504,15,0.0,-6.25,0,0,3,0,0,,3,0,0,,1,0,0,,6,0,0,,2,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8505,15,0.0,3.75,2,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,6,0,0,,3,0,0,,1,0,0,,3,0,0,,2,0,0,
1,FullHiLoRules,8506,15,0.0,-16.25,0,0,2,0,0,,0,0,0,,0,0,0,,2,0,0,,4,0,0,,4,0,0,,3,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8507,14,0.0,12.5,0,0,0,0,0,,1,0,0,,2,0,0,,3,0,0,,7,0,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8508,15,0.0,2.5,0,0,0,0,0,,0,0,0,,0,0,0,,3,0,0,,5,0,0,,0,0,0,,5,0,0,,2,0,0,,0,0,0,
1,FullHiLoRules,8509,15,0.0,75.0,0,0,1,0,0,,0,0,0,,1,0,0,,4,0,0,,8,0,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8510,15,0.0,-15.0,3,0,0,0,0,,0,0,0,,0,0,0,,1,0,0,,4,0,0,,1,0,0,,5,0,0,,1,0,0,,3,0,0,
1,FullHiLoRules,8511,15,0.0,2.5,0,0,0,0,0,,1,0,0,,2,0,0,,1,0,0,,7,0,0,,3,0,0,,1,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8512,14,0.0,-6.25,0,0,2,0,0,,2,0,0,,1,0,0,,2,0,0,,6,0,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8513,15,0.0,0.0,0,0,2,0,0,,2,0,0,,1,0,0,,1,0,0,,8,0,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8514,14,0.0,32.5,2,0,1,0,0,,1,0,0,,1,0,0,,7,0,0,,1,0,0,,0,0,0,,1,0,0,,0,0,0,,2,0,0,
1,FullHiLoRules,8515,15,0.0,-6.25,0,0,4,0,0,,3,0,0,,1,0,0,,2,0,0,,5,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8516,15,0.0,42.5,0,0,0,0,0,,0,0,0,,1,0,0,,6,0,0,,7,0,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8517,15,0.0,31.25,2,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,3,0,0,,3,0,0,,3,0,0,,4,0,0,,2,0,0,
1,FullHiLoRules,8518,15,0.0,-48.75,2,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,7,0,0,,3,0,0,,0,0,0,,3,0,0,,2,0,0,
1,FullHiLoRules,8519,15,0.0,111.25,0,0,0,0,0,,6,0,0,,1,0,0,,3,0,0,,4,0,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8520,15,0.0,-25.0,0,0,0,0,0,,0,0,0,,2,0,0,,2,0,0,,4,0,0,,7,0,0,,0,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8521,14,0.0,-76.25,0,0,0,0,0,,0,0,0,,3,0,0,,3,0,0,,5,0,0,,3,0,0,,0,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8522,15,0.0,21.25,0,0,9,0,0,,0,0,0,,1,0,0,,4,0,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8523,15,0.0,-46.25,0,0,9,0,0,,0,0,0,,3,0,0,,1,0,0,,2,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8524,15,0.0,15.0,0,0,0,0,0,,2,0,0,,4,0,0,,8,0,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8525,15,0.0,33.75,8,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,3,0,0,,2,0,0,,2,0,0,,0,0,0,,8,0,0,
1,FullHiLoRules,8526,14,0.0,46.25,0,0,0,0,0,,1,0,0,,5,0,0,,3,0,0,,2,0,0,,3,0,0,,0,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8527,16,0.0,-47.5,0,0,5,0,0,,1,0,0,,2,0,0,,1,0,0,,6,0,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8528,15,0.0,1.25,0,0,1,0,0,,3,0,0,,5,0,0,,1,0,0,,5,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8529,14,0.0,26.25,3,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,7,0,0,,0,0,0,,2,0,0,,2,0,0,,3,0,0,
1,FullHiLoRules,8530,15,0.0,81.25,5,0,0,0,0,,0,0,0,,0,0,0,,3,0,0,,3,0,0,,0,0,0,,2,0,0,,2,0,0,,5,0,0,
1,FullHiLoRules,8531,16,0.0,-28.75,0,0,2,0,0,,4,0,0,,2,0,0,,3,0,0,,4,0,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8532,15,0.0,-7.5,0,0,2,0,0,,0,0,0,,1,0,0,,7,0,0,,4,0,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8533,15,0.0,1.25,0,0,1,0,0,,0,0,0,,3,0,0,,6,0,0,,5,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8534,16,0.0,-42.5,0,0,9,0,0,,3,0,0,,0,0,0,,2,0,0,,2,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8535,15,0.0,-11.25,0,0,2,0,0,,1,0,0,,1,0,0,,2,0,0,,7,0,0,,2,0,0,,0,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8536,15,0.0,-33.75,0,0,3,0,0,,0,0,0,,2,0,0,,1,0,0,,7,0,0,,2,0,0,,0,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8537,16,0.0,-67.5,0,0,0,0,0,,0,0,0,,2,0,0,,0,0,0,,10,0,0,,3,0,0,,1,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8538,15,0.0,23.75,0,0,2,0,0,,0,0,0,,2,0,0,,5,0,0,,6,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8539,14,0.0,25.0,7,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,3,0,0,,1,0,0,,0,0,0,,3,0,0,,7,0,0,
1,FullHiLoRules,8540,15,0.0,-63.75,1,0,0,0,0,,0,0,0,,3,0,0,,3,0,0,,5,0,0,,2,0,0,,1,0,0,,0,0,0,,1,0,0,
1,FullHiLoRules,8541,14,0.0,-42.5,0,0,0,0,0,,1,0,0,,3,0,0,,3,0,0,,4,0,0,,1,0,0,,1,0,0,,1,0,0,,0,0,0,
1,FullHiLoRules,8542,15,0.0,-7.5,0,0,0,0,0,,0,0,0,,1,0,0,,3,0,0,,6,0,0,,2,0,0,,2,0,0,,1,0,0,,0,0,0,
1,FullHiLoRules,8543,14,0.0,51.25,4,0,0,0,0,,0,0,0,,2,0,0,,3,0,0,,3,0,0,,1,0,0,,0,0,0,,1,0,0,,4,0,0,
1,FullHiLoRules,8544,15,0.0,-1.25,0,0,0,0,0,,0,0,0,,1,0,0,,2,0,0,,5,0,0,,3,0,0,,3,0,0,,1,0,0,,0,0,0,
1,FullHiLoRules,8545,16,0.0,25.0,0,0,2,0,0,,2,0,0,,3,0,0,,2,0,0,,7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,
